"Year","Lat","Lon","Density"
1982,60.3225,-170.61167,1289.51598405723
1982,59.325,-168.57417,352.764494770868
1982,58.99834,-169.13334,496.099260626224
1982,59.00167,-168.52917,309.470692656727
1982,58.99167,-167.9,150.552794209561
1982,59.01084,-165.93333,3046.11677965131
1982,60.66242,-174.96584,28529.2074503426
1982,60.6805,-176.37184,4194.87238989857
1982,61.35167,-176.31,4569.29106594746
1982,61.014,-176.47367,52045.2785648083
1982,60.66784,-175.63467,33697.7440524754
1982,60.31867,-175.38025,2309.04388864209
1982,61.65125,-176.4755,5496.61625853176
1982,60.33367,-176.00333,7884.25506968355
1982,60.33925,-174.685,16592.9158646056
1982,61.32292,-176.98917,7745.6984780441
1982,61.00667,-177.01108,4786.49796300471
1982,60.65308,-176.81692,75.3090848258995
1982,60.33984,-176.75125,4258.10551864956
1982,57.66625,-173.40392,5347.7006976095
1982,57.82917,-170.58725,1085.63830459199
1982,56.82933,-169.28184,1593.73165253234
1982,56.82959,-168.60809,66530.5835551963
1982,57.83175,-169.89592,140.983958917038
1982,57.49667,-169.97833,28653.5893594979
1982,57.83033,-168.675,662.191726816493
1982,57.17067,-169.21817,953.333009600237
1982,57.18133,-168.59383,78.7883798650825
1982,57.50325,-168.60659,69.4256334562428
1982,57.8265,-169.25867,1819.44387217787
1982,61.01134,-174.87592,4089.17024511533
1982,61.3455,-174.97408,209.787913484726
1982,61.327,-175.81925,4606.21451742549
1982,61.69684,-175.12084,1562.3399375043
1982,60.99592,-175.56792,1168.43353523414
1982,62.0445,-175.21992,4641.1477375218
1982,61.97392,-175.94967,289.330524016052
1982,61.63967,-175.85117,1105.45802912383
1982,57.147,-169.88842,535.208473813452
1983,57,-169.55,9973.55300345313
1983,57.03333,-170.25,4290.28487447403
1983,57.35,-171.48333,26092.4059716045
1983,55.68333,-165.76667,10083.5360511742
1983,55.68333,-165.16667,1328.13863455433
1983,56.33333,-168.88333,1317.15039481606
1983,55.33333,-165.16667,401.203531437612
